,user_id,item_id,recommend,playtime_forever,playtime_2weeks
0,76561197970982479,1250,True,10006,0
1,76561197970982479,22200,True,271,0
2,76561197970982479,43110,True,834,0
3,js41637,227300,True,551,0
4,js41637,239030,True,349,0
5,evcentric,248820,True,2328,0
6,evcentric,237930,True,508,0
7,evcentric,107200,True,3225,0
8,doctr,250320,True,778,0
9,doctr,20920,True,2981,0
10,doctr,204100,True,5297,0
11,doctr,207610,True,1972,0
12,doctr,108710,True,1185,0
13,maplemage,211420,True,12347,0
14,maplemage,211820,True,3436,0
15,maplemage,730,True,13955,0
16,maplemage,204300,True,17589,0
17,MeaTCompany,730,True,18481,507
18,76561198089393905,72850,True,37776,16
19,76561198156664158,252950,True,16470,1317
20,76561198156664158,252950,True,16470,1317
21,76561198156664158,252950,True,16470,1317
22,76561198156664158,252950,True,16470,1317
23,76561198077246154,304930,True,25150,30
24,WeiEDKrSat,4000,True,16441,0
25,thequeenpanda,42910,True,1219,0
26,death-hunter,232090,True,3789,196
27,death-hunter,4000,True,243840,0
28,DJKamBer,304930,True,770,0
29,DJKamBer,218620,True,25804,208
30,DJKamBer,224260,True,7366,0
31,DJKamBer,1250,True,2851,0
32,Rainbow-Dashie,730,True,21385,4
33,MarbleShrine,220200,True,8592,0
34,PPanther,211820,True,11721,0
35,devvonst,218740,True,29,0
36,devvonst,550,True,7022,0
37,Fr0stedLine,220,True,272,0
38,76561198058373434,8870,True,962,0
39,76561198048353577,4000,True,84234,293
40,76561198048353577,33930,True,6684,0
41,76561198066046412,359320,False,635,0
42,76561198066046412,219640,True,47800,0
43,76561198070565427,218620,True,9813,0
44,76561198070565427,208090,True,944,0
45,76561198070565427,224260,True,3061,0
46,SavageEeEe,221100,True,54642,1385
47,KanadeTheNeko,4000,True,44455,0
48,Leaf_Light_Moscow,323370,True,390,0
49,GoAwayZach,304930,True,8496,0
50,76561198054540475,12210,True,6784,0
51,76561198054540475,265210,True,150,0
52,76561198054540475,48700,True,8044,37
53,76561198085547365,238460,True,667,0
54,76561198085547365,34900,True,30,0
55,76561198061252210,730,True,41281,439
56,OfficialShroomsy,113200,True,1319,0
57,boydeer,383080,False,121,0
58,VVillis,213670,True,132,0
59,76561198083226897,105600,True,12932,1740
60,76561198075277292,730,True,43739,891
61,76561198028895010,620,True,1903,0
62,76561198170198366,271290,True,416,0
63,diego9031,4000,True,21928,288
64,diego9031,317360,True,143,0
65,diego9031,223710,True,30,0
66,diego9031,299360,True,577,0
67,diego9031,1250,True,1204,51
68,diego9031,12100,True,603,0
69,diego9031,204360,True,665,0
70,diego9031,224260,True,1116,0
71,76561198078738103,304930,True,2154,0
72,76561198070194565,233250,True,3474,0
73,76561198070194565,368730,True,33,0
74,76561198070194565,246280,True,827,0
75,76561198070194565,427270,True,379,0
