,0
0,205790
1,730
2,4000
3,304930
4,550
5,223530
6,105600
7,230410
8,620
9,240
10,218620
11,72850
12,301520
13,49520
14,218230
15,340
16,227940
17,400
18,220
19,236390
20,333930
21,208090
22,8190
23,252490
24,224260
25,232210
26,219640
27,320
28,322330
29,8930
30,24240
31,33930
32,219540
33,55230
34,33910
35,243870
36,1250
37,35420
38,304050
39,222900
40,360
41,380
42,22380
43,420
44,238960
45,219740
46,42910
47,200210
48,8870
49,252950
50,204360
51,113200
52,222880
53,91310
54,43110
55,221100
56,17410
57,291480
58,265630
59,407530
60,323370
61,291550
62,7670
63,409710
64,104900
65,12210
66,206420
67,212680
68,63380
69,346900
70,224580
71,209870
72,20920
73,10
74,203160
75,211820
76,367540
77,99900
78,265930
79,6060
80,363970
81,8980
82,224540
83,203140
84,377160
85,8850
86,409720
87,221380
88,238460
89,248570
90,80
91,100
92,200710
93,233720
94,273350
95,35450
96,204300
97,48000
98,200260
99,271590
100,57300
101,40800
102,220240
103,271290
104,346110
105,200510
106,386360
107,113400
108,273110
109,219150
110,202090
111,201790
112,12220
113,228200
114,224600
115,244850
116,107410
117,70
118,312990
119,205100
120,4920
121,31280
122,108800
123,4560
124,202970
125,202990
126,212910
127,9480
128,227700
129,109600
130,17470
131,210770
132,253710
133,24740
134,211420
135,209080
136,35140
137,223710
138,239220
139,48700
140,242760
141,221910
142,226320
143,107100
144,236830
145,65800
146,282440
147,205930
148,22370
149,35720
150,317360
151,233450
152,500
153,207610
154,218680
155,70000
156,236110
157,206210
158,51100
159,2400
160,2430
161,9340
162,20
163,2420
164,39120
165,50
166,113020
167,17080
168,50620
169,130
170,248820
171,15620
172,47790
173,47830
174,241930
175,10180
176,10190
177,20900
178,32370
179,223470
180,261640
181,91600
182,57690
183,42700
184,42710
185,34330
186,12120
187,12250
188,216250
189,319630
190,250900
191,220200
192,239030
193,41070
194,34270
195,207140
196,20540
197,433850
198,439700
199,56400
200,55110
201,346010
202,299360
203,214560
204,234710
205,239820
206,20570
207,65790
208,202170
209,214420
210,295110
211,362300
212,208580
213,42680
214,42690
215,300
216,21100
217,4570
218,227300
219,224760
220,24960
221,262410
222,280
223,255710
224,355840
225,6860
226,310380
227,50300
228,221640
229,211500
230,42160
231,391540
232,251570
233,209000
234,238430
235,105450
236,102600
237,104700
238,6880
239,16450
240,233270
241,12900
242,28050
243,50650
244,302830
245,226700
246,22330
247,6020
248,24980
249,50130
250,231430
251,255520
252,417860
253,10500
254,206500
255,232090
256,232150
257,213670
258,292030
259,39000
260,343450
261,238010
262,19900
263,233250
264,242720
265,237310
266,475150
267,203290
268,368730
269,245550
270,4700
271,10090
272,32800
273,365720
274,216150
275,212800
276,23490
277,4540
278,24800
279,242920
280,6850
281,205950
282,355180
283,268420
284,4760
285,65930
286,113420
287,205230
288,3830
289,339610
290,212070
291,17390
292,225260
293,212500
294,225840
295,413150
296,241600
297,6000
298,250400
299,214950
300,108710
301,241540
302,204100
303,43160
304,200170
305,246280
306,21090
307,21110
308,21120
309,261030
310,33230
311,48720
312,239160
313,67370
314,110800
315,335240
316,6910
317,32470
318,4580
319,220780
320,206190
321,239140
322,207230
323,30
324,6900
325,282070
326,9450
327,219890
328,221260
329,92800
330,34030
331,311210
332,12110
333,12240
334,238320
335,6030
336,32400
337,201810
338,60
339,11020
340,280790
341,9310
342,40
343,17460
344,212160
345,32430
346,306830
347,41500
348,55150
349,234190
350,3900
351,34440
352,13520
353,239450
354,20500
355,223750
356,250420
357,12200
358,264140
359,244630
360,3910
361,32500
362,383080
363,35700
364,349700
365,247730
366,15700
367,253030
368,286160
369,32380
370,8600
371,202750
372,203770
373,265210
374,298260
375,245170
376,233130
377,9900
378,34900
379,9420
380,41000
381,22300
382,222730
383,237110
384,316390
385,22320
386,266430
387,287390
388,244930
389,8800
390,34460
391,236090
392,258160
393,16810
394,3990
395,34450
396,242050
397,319510
398,302380
399,239350
400,298630
401,47780
402,250320
403,22100
404,335330
405,234390
406,296470
407,298240
408,72200
409,11450
410,212480
411,218130
412,8660
413,316010
414,310370
415,274190
416,209160
417,209170
418,26800
419,286690
420,237930
421,239070
422,206980
423,205350
424,234140
425,427270
426,40100
427,9350
428,339280
429,266840
430,253980
431,246620
432,47810
433,315640
434,3590
435,321040
